symbol,token
<PAD>,0
<START>,1
<END>,2
<UNK>,3
{,4
},5
_,6
1,7
),8
(,9
^,10
2,11
=,12
\frac,13
x,14
0,15
-,16
i,17
",",18
n,19
t,20
a,21
+,22
3,23
r,24
.,25
m,26
\,27
d,28
4,29
5,30
6,31
k,32
s,33
7,34
8,35
9,36
c,37
p,38
e,39
|,40
f,41
y,42
\cdot,43
\sqrt,44
A,45
b,46
l,47
[,48
],49
o,50
g,51
\partial,52
X,53
z,54
/,55
j,56
v,57
R,58
&,59
T,60
u,61
P,62
S,63
C,64
B,65
E,66
\begin,67
\end,68
N,69
\prime,70
\alpha,71
\int,72
\pi,73
V,74
L,75
F,76
q,77
h,78
\sum,79
M,80
\theta,81
\mu,82
\in,83
I,84
H,85
\hat,86
D,87
\rightarrow,88
G,89
\lambda,90
*,91
\sigma,92
:,93
w,94
\overline,95
\infty,96
\mathbb,97
K,98
\beta,99
\omega,100
\rho,101
\epsilon,102
\gamma,103
Q,104
Z,105
Y,106
\le,107
U,108
\phi,109
\times,110
\Delta,111
\rangle,112
\tilde,113
<,114
\psi,115
\delta,116
\nu,117
\varphi,118
W,119
\tau,120
O,121
J,122
\vec,123
\langle,124
!,125
>,126
\nabla,127
\prod,128
\ge,129
;,130
\Omega,131
\Gamma,132
\eta,133
\approx,134
\Phi,135
\dot,136
\pm,137
\xi,138
\circ,139
\otimes,140
\wedge,141
\equiv,142
\hbar,143
\chi,144
\underline,145
\kappa,146
\zeta,147
\ne,148
\forall,149
\Sigma,150
\Psi,151
\sim,152
\notin,153
\subseteq,154
\cap,155
\mapsto,156
\Lambda,157
\neg,158
\oplus,159
\cup,160
\dagger,161
\Rightarrow,162
\backslash,163
\vee,164
\subset,165
\Pi,166
\rfloor,167
\lfloor,168
\exists,169
\Theta,170
\cong,171
\emptyset,172
\propto,173
\perp,174
\vdash,175
\bigcup,176
\bullet,177
\aleph,178
\top,179
%,180
\simeq,181
\leftarrow,182
\ll,183
\oint,184
#,185
\angle,186
\vartheta,187
\bigoplus,188
\leftrightarrow,189
\vdots,190
\iint,191
\bigcap,192
\lceil,193
\rceil,194
\iff,195
\gg,196
?,197
\iota,198
\longrightarrow,199
\models,200
\varpi,201
\odot,202
\upsilon,203
\Leftrightarrow,204
\varsigma,205
\ominus,206
\hookrightarrow,207
\mp,208
\supset,209
\Xi,210
\supseteq,211
\bigwedge,212
\div,213
\triangleq,214
\Upsilon,215
\subsetneq,216
\Vdash,217
\ni,218
\rightleftharpoons,219
\bigvee,220
\triangle,221
\not,222
\bigcirc,223
\triangleleft,224
\sqsubseteq,225
\sin,226
\cos,227
\tan,228
\arcsin,229
\arccos,230
\arctan,231
\sinh,232
\cosh,233
\tanh,234
\exp,235
\log,236
\ln,237
\max,238
\min,239
\lim,240
\gcd,241
\leq,242
\geq,243
\neq,244
\to,245
\cdots,246
\ldots,247
\ast,248
\star,249
\setminus,250
\smallsetminus,251
\%,252
\mid,253
\nmid,254
\ddagger,255
\triangleright,256
\prec,257
\succ,258
\preceq,259
\succeq,260
\lesssim,261
\gtrsim,262
\parallel,263
\nparallel,264
\bot,265
\asymp,266
\doteq,267
\therefore,268
\because,269
\land,270
\lor,271
\implies,272
\impliedby,273
\Leftarrow,274
\rightarrowtail,275
\leadsto,276
\varepsilon,277
\varkappa,278
\varrho,279
\varGamma,280
\varDelta,281
\varTheta,282
\varLambda,283
\varXi,284
\varPi,285
\varSigma,286
\varUpsilon,287
\varPhi,288
\varPsi,289
\varOmega,290
\bar,291
\ddot,292
\breve,293
\check,294
\widehat,295
\widetilde,296
\overbrace,297
\underbrace,298
\overset,299
\underset,300
\mathring,301
\text,302
\coprod,303
\bigsqcup,304
