epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1107.19,0.7758,0.527,0.97823,0.96893,0.96985,0.98808,0.83713,0.56607,0.37759,0.87808,0.0700136,0.00333182,0.00333182
2,2176.56,0.51517,0.30329,0.83118,0.96868,0.94149,0.98663,0.84304,0.61012,0.38798,0.85125,0.0399955,0.00664708,0.00664708
3,3242.47,0.45219,0.27647,0.81536,0.88197,0.86099,0.94689,0.73553,0.77066,0.60291,0.94413,0.00990544,0.00989034,0.00989034
4,4300.91,0.37522,0.23927,0.80029,0.86974,0.75215,0.8742,0.68554,0.80853,1.01718,0.923,0.00975773,0.00975773,0.00975773
5,5359.66,0.31136,0.20648,0.78903,0.92077,0.8932,0.92847,0.7693,0.67245,0.58003,0.88164,0.00957205,0.00957205,0.00957205
6,6413.91,0.27539,0.18723,0.78346,0.97355,0.96506,0.98004,0.85938,0.53502,0.32154,0.82083,0.00933683,0.00933683,0.00933683
7,7472.14,0.2522,0.17477,0.77951,0.92839,0.89852,0.93016,0.76754,0.69036,0.58449,0.91585,0.00905463,0.00905463,0.00905463
8,8530.55,0.23439,0.16492,0.77722,0.95176,0.92505,0.95452,0.80762,0.64041,0.46294,0.87007,0.00872857,0.00872857,0.00872857
9,9584.83,0.22133,0.15695,0.77535,0.94924,0.92257,0.95161,0.79919,0.64484,0.4876,0.86914,0.0083622,0.0083622,0.0083622
10,10642.8,0.20918,0.15026,0.77381,0.9591,0.93547,0.96095,0.82779,0.60014,0.43598,0.83801,0.00795954,0.00795954,0.00795954
11,11683.3,0.19853,0.14434,0.77199,0.95834,0.93944,0.96429,0.82579,0.59149,0.40742,0.85935,0.007525,0.007525,0.007525
12,12743.8,0.18909,0.13882,0.77076,0.9689,0.95541,0.97406,0.82853,0.61902,0.37509,0.87129,0.00706335,0.00706335,0.00706335
13,13792.3,0.18063,0.13329,0.77011,0.98448,0.97964,0.98715,0.84528,0.58891,0.3085,0.86315,0.00657963,0.00657963,0.00657963
14,14853.8,0.17299,0.12879,0.76859,0.9772,0.96957,0.98052,0.86773,0.50012,0.30044,0.81378,0.00607916,0.00607916,0.00607916
15,15902,0.16561,0.12458,0.76775,0.96602,0.95219,0.97152,0.82741,0.60649,0.39432,0.88851,0.00556742,0.00556742,0.00556742
16,16952,0.15841,0.11937,0.76713,0.97112,0.96068,0.97658,0.83588,0.5844,0.36122,0.89897,0.00505,0.00505,0.00505
17,18005.1,inf,0.11502,0.76592,0.97274,0.96522,0.979,0.83685,0.591,0.35793,0.9138,0.00453258,0.00453258,0.00453258
18,19058.3,0.14498,0.11036,0.76539,0.97946,0.96923,0.98189,0.85634,0.54395,0.32575,0.88163,0.00402084,0.00402084,0.00402084
19,20111.6,0.13878,0.10667,0.76516,0.96829,0.95147,0.97015,0.83746,0.57246,0.39422,0.90783,0.00352037,0.00352037,0.00352037
20,21148.2,0.1334,0.10245,0.76405,0.97165,0.95608,0.97351,0.83731,0.58127,0.38004,0.92623,0.00303665,0.00303665,0.00303665
21,22201.3,0.12822,0.09862,0.7637,0.97004,0.95434,0.97315,0.83567,0.58425,0.38327,0.95534,0.002575,0.002575,0.002575
22,23258.1,0.1228,0.09459,0.76295,0.96879,0.95161,0.97283,0.83333,0.58979,0.38999,0.96398,0.00214046,0.00214046,0.00214046
23,24314.7,0.11834,0.09078,0.76254,0.96628,0.94533,0.97035,0.82638,0.60397,0.41129,0.97692,0.0017378,0.0017378,0.0017378
24,25364.2,0.11349,0.08682,0.762,0.96763,0.94793,0.97162,0.82917,0.59772,0.40352,0.98235,0.00137143,0.00137143,0.00137143
25,26412.6,0.10975,0.08363,0.76137,0.96927,0.94987,0.97343,0.83192,0.59491,0.39466,0.9872,0.00104537,0.00104537,0.00104537
26,27459.6,0.10615,0.08055,0.7613,0.9692,0.94944,0.97409,0.83151,0.5944,0.39298,0.99641,0.000763174,0.000763174,0.000763174
27,28510.8,0.10277,0.07787,0.76122,0.96796,0.94721,0.97358,0.82978,0.59597,0.3966,1.00466,0.00052795,0.00052795,0.00052795
28,29567.6,0.1002,0.0759,0.76061,0.9677,0.94545,0.97373,0.82778,0.59954,0.39826,1.01286,0.00034227,0.00034227,0.00034227
29,30616.6,0.09814,0.07411,0.76093,0.96747,0.94419,0.97374,0.8261,0.60206,0.39986,1.0199,0.000208169,0.000208169,0.000208169
